0	8	258	8	258	7	258
0	8	0	258	8	14	751
0	435	14	437	14	393	157
8	435	751	8	0	435	0
8	258	268	2571	2496	2107	2574
8	0	544	751	544	258	435
14	435	8	14	232	14	242
14	736	14	384	14	232	268
14	393	14	393	14	400	2354
258	14	258	268	613	2107	613
258	7	258	1031	1328	1412	1328
258	14	746	14	242	14	435
435	8	14	443	14	232	268
435	751	435	14	437	14	232
435	258	400	14	393	157	1452
544	258	751	435	751	8	258
544	751	14	751	258	544	14
544	751	258	8	0	435	258
1	344	1	344	316	344	2229
1	344	1260	1104	1260	344	963
1	344	1445	1442	675	2339	2126
344	2617	1428	2079	1428	2229	344
344	1627	479	478	618	478	274
344	2609	2079	1428	2329	1290	218
2	410	298	410	305	552	483
2	565	244	565	1440	82	565
2	552	575	2485	173	294	2430
410	305	552	601	1741	738	1213
410	565	601	552	367	552	167
410	82	410	305	552	210	295
471	1045	471	621	552	85	565
471	1859	621	738	1741	492	2419
471	1045	1540	1378	21	1378	1540
552	277	294	564	565	477	463
552	446	552	306	1376	1727	1376
552	559	2341	2425	62	945	1287
565	566	483	933	483	566	1459
565	2672	565	633	197	633	565
565	601	565	492	1741	1841	564
3	197	749	2485	575	565	1376
3	601	3	601	1741	492	213
3	601	552	621	738	552	559
197	3	463	477	294	21	438
197	633	1459	2404	1459	2221	566
197	633	611	368	611	2325	611
463	483	933	483	463	333	566
463	483	277	552	653	552	298
463	477	2658	691	565	385	567
601	1741	738	565	910	1432	964
601	3	601	552	749	197	3
601	611	2540	1857	160	322	967
4	170	4	170	4	170	250
4	170	250	499	250	427	201
4	170	4	170	250	31	250
170	4	170	250	108	898	108
170	4	170	250	639	584	427
170	250	498	108	107	1288	1414
5	2164	515	2164	2521	2529	2294
5	490	5	490	220	45	490
5	2164	2521	2164	515	637	623
490	6	251	482	551	2473	551
490	6	490	220	552	644	210
490	492	1186	1268	1898	1268	2140
2164	1749	2164	1749	2164	2521	2529
2164	1749	2164	1749	2164	2521	145
2164	515	2164	5	490	45	490
6	490	492	45	492	565	1213
6	251	2560	323	228	323	2467
6	251	1505	865	795	794	795
251	482	13	578	13	482	13
251	865	251	1505	932	865	1505
251	1877	717	1877	578	1122	799
7	258	751	258	1111	1570	1339
7	258	1111	1328	1031	1328	785
7	258	544	751	14	443	14
751	435	751	258	8	14	736
751	8	435	258	1031	258	751
751	8	751	544	14	268	14
9	453	1449	453	514	506	514
9	481	9	453	591	549	287
9	481	9	453	2354	2360	2040
308	2028	2653	2028	2653	2028	2653
308	2028	2653	2028	1003	2146	2182
308	9	453	591	549	287	549
453	1358	591	199	640	1897	640
453	2092	453	1358	591	287	640
453	1712	1290	893	1290	1226	1234
481	9	308	2028	1003	791	1003
481	9	453	2099	2098	2099	2098
481	9	761	9	453	706	453
761	535	761	40	761	40	761
761	9	761	9	761	535	109
761	40	761	9	453	549	488
10	519	2549	193	2549	519	192
